schno,school,comp_score,hist_ineq,sch_acc,prog_acc,acad,sel,scc,demand,turnover,enroll,building
507,Drew (Charles) College Preparatory Academy,34.05,1.68,-0.11,0.22,-0.23,-0.9,-0.97,-0.63,-0.36,-1.75,1.56
858,Brown Jr. (Willie L) Middle,33.99,1.1,-0.02,-0.47,-0.45,0.26,-1.22,-0.07,-0.49,-0.13,1.56
724,Mission Education Center,33.02,0.58,-1,0.59,0,-2.36,0.44,0,1.4,0,0.27
816,Sanchez Elementary,32.94,0.97,-0.83,0.96,0.18,-1.09,-0.42,-0.61,-0.71,-0.21,0.13
562,Garfield Elementary,32.92,-0.64,-0.89,0.44,-0.32,-0.12,0.64,-0.59,0.94,0.02,1.56
632,Denman (James) Middle,32.11,-0.16,0.93,0.31,-1.09,-0.72,-1.07,0.67,-0.45,-0.56,-1.43
680,Flynn (Leonard R.) Elementary,31.7,1.14,-0.53,0.66,-0.48,-0.68,-0.77,-0.4,0.08,-0.5,-0.34
456,Bryant Elementary,31.53,1,-0.62,1.09,-1.83,0.03,0.14,-0.54,-0.27,0.34,-1.43
842,Sunnyside Elementary,31.5,-0.42,-0.13,-1.79,1.83,0.7,0.54,-0.32,-0.11,0.27,0.81
718,McKinley Elementary,30.77,1.45,-0.95,-1.73,0.46,1.38,1.3,-0.41,1.06,-0.39,-0.07
830,Malcolm X Academy,30.24,3.02,0,0.52,-0.67,-2.48,0.14,-0.71,-1.66,-1.29,-1.91
603,Chavez (Cesar) Elementary,29.96,0.91,-1.17,0.96,-0.39,-0.64,-0.06,-0.48,-0.36,-0.32,0.07
848,Sutro Elementary,29.87,-1.26,-1.06,0.17,1.05,-0.45,1.3,-0.55,-0.59,0.39,1.36
634,Lick (James) Middle,29.82,0.88,-0.26,0.68,-1.41,0.48,-1.88,0.44,-0.1,-0.85,-0.34
862,Ulloa Elementary,29.41,-1.45,-0.6,-0.24,0.77,-0.31,1,-0.02,1.34,0.37,-0.82
670,Lakeshore Alternative Elementary,29.27,-1.16,-0.37,-0.21,0.03,0.33,0.29,-0.52,0.65,0.72,0.27
710,King Jr. (Martin Luther) Academic Middle,28.87,0.46,0.13,0.49,-0.9,-1.39,-1.52,-0.13,-0.12,0.21,-0.07
876,West Portal Elementary,28.03,-0.86,-0.1,-0.73,0.81,0.07,0.09,0.2,-0.61,0.82,-0.75
449,Carmichael (Bessie)/FEC,27.76,0.67,0.92,0.73,-1.67,-0.98,-2.84,-0.59,-0.72,-0.02,-0.38
859,Tenderloin Community,26.73,0.6,0.01,0.83,-0.34,-1.05,-1.22,-0.65,-1.63,-0.18,-1.02
575,Glen Park Elementary,26.56,0.3,-0.48,-0.05,-0.48,-0.68,-0.32,-0.43,0.39,0.09,0.2
834,Spring Valley Elementary,25.72,-0.22,-0.63,0.92,-0.4,-0.49,0.14,-0.65,-0.4,-0.6,-0.96
790,Redding Elementary,25.47,0.31,-0.48,0.26,-1.37,-0.87,-0.32,-0.66,0.18,0.37,0.95
481,Cleveland Elementary,25.45,-0.03,-0.92,0.91,-1.04,-1.61,-0.72,-0.59,2.49,-0.02,0
488,Sloat (Commodore) Elementary,25.42,-0.79,0.24,-0.93,0.45,0.41,1,-0.34,-0.42,0.45,-2.59
796,Rooftop Elementary,25.11,0.58,0.12,-1.64,0.48,0.7,-0.37,-0.18,-0.31,1.06,-1.98
513,Taylor (Edward R.) Elementary,24.47,-0.05,-0.43,0.9,0.14,-1.28,-0.21,-0.45,-1.7,-0.18,-1.36
782,Stevenson (Robert Louis) Elementary,24.04,-1.66,-0.82,-0.86,0.37,1.9,1.05,-0.21,-0.95,0.82,0.75
735,New Traditions Elementary,23.72,0.79,-0.43,-2.16,-0.01,1.3,1.2,-0.37,0.18,0.43,-0.68
664,Lafayette Elementary,23.61,-2.58,0.13,-1.5,1.01,1.04,1.45,-0.36,-0.6,0.08,0.95
867,Visitacion Valley Elementary,23.23,0.06,-0.15,0.68,0.23,-2.59,-0.52,-0.63,-2.9,-0.28,1.29
814,San Francisco Public Montessori,21.61,0.56,-0.68,-1.22,0.25,1.12,1.1,-0.5,-1.4,-1.25,0.41
505,Milk (Harvey) Civil Rights Elementary,21.5,1.11,-1.27,-1.88,0,1.49,0.69,-0.5,0.32,-0.22,1.56
521,El Dorado Elementary,20.32,0.23,-0.6,0.5,-1.88,-0.75,-0.57,-0.65,-0.77,-0.41,1.97
786,Parks (Rosa) Elementary,19.84,0.61,-0.26,0.86,-0.91,-0.9,-0.87,-0.57,-0.23,-1.74,-1.98
549,McCoppin (Frank) Elementary,19.41,-1.95,-0.83,-1.57,0.97,-0.04,1.45,-0.43,1.53,0.35,1.36
493,San Francisco Community Alternative,18.61,0.45,-0.35,-1.01,-0.35,0.33,-1.12,-0.54,0.69,-0.28,-0.07
644,Jefferson Elementary,17.61,-1.72,-0.26,-1.3,0.8,0.93,0.59,-0.4,0.03,0.25,-1.02
614,Hillcrest Elementary,16,0.27,-0.99,0.9,-1.01,-0.6,-1.52,-0.54,-1.16,-0.85,0.88
801,Yick Wo Elementary,15.97,-0.96,-0.71,-0.85,-0.88,1.27,0.74,-0.49,-0.97,0.08,0.95
569,Peabody (George) Elementary,15.6,-0.84,-0.91,-1.99,1.05,1.3,1.5,0.11,-2.42,0.52,0.54
529,Everett Middle,15.2,0.94,0.06,0.78,-0.71,-1.5,-3.24,0.03,-1.63,-0.9,-1.64
589,Grattan Elementary,14.65,0.72,-0.65,-2.35,0.31,0.74,0.79,-0.29,0.02,0.48,-1.43
750,Sunset Elementary,14.35,-1.81,-0.73,-1.43,1.06,0.74,1.25,0.43,-1.56,0.6,-0.89
413,Alamo Elementary,14.13,-1.97,-0.75,-0.94,0.61,1.23,0.29,-0.25,0.52,-0.45,-0.55
638,Parker (Jean) Elementary,13.88,-0.85,-1.17,0.55,0.22,-1.05,1.1,-0.63,-2.65,-0.4,-0.21
823,Sherman Elementary,13.85,0.01,-0.86,-1.08,0.31,0.97,-0.21,-0.4,-0.97,-0.17,-0.68
544,Key (Francis Scott) Elementary,12.29,-1.85,-0.75,-1.85,0.38,0.93,1.25,-0.28,0.57,0.64,-0.14
435,Argonne Elementary,11.46,-1.92,-0.85,-1.2,0.01,0.82,1.4,-0.24,-0.75,0.38,0.07
539,Feinstein (Dianne) Elementary,8.85,-2.14,-0.27,-1.52,-0.07,0.93,-0.26,-0.43,0.18,0.48,0.2
