"SCHNO","FULLNAME","SCHLEVEL","ADDRESS","mean_dist3_mi","dens_students_mi2","enroll","enroll_SED","enroll_prog","SED_frac","prog_frac","staff_cc_favorability","staff_participation","family_cc_favorability","family_participation","student_cc_favorability","student_participation","growth_mindset_fav","self_efficacy_fav","self_management_fav","social_awareness_fav","Performance_ELA","Performance_Math","Change_ELA","Change_Math","top3_pct_2324","top3_pct_2425","top3_pct_2325","num2022","sep2022","num2023","sep2023","turnover_mean","prog_cap","pct_cap","fci"
778,"Presidio MS",3,"450 30th Ave, San Francisco, CA",2.16646503559109,61.68831169,983,355,516,0.361139369277721,0.524923702950153,72,0.766,89,0.48,63,0.88,71,60,72,61,29.7,-10.8,-15.1,-17.7,0.265,0.264,0.264,59,3,56,0,0.0254237288135593,990,0.992929292929293,0.3
797,"Roosevelt MS",3,"460 Arguello Blvd, San Francisco, CA",1.86020402917378,60.51282051,659,297,448,0.450682852807284,0.679817905918058,85,0.605,94,0.383,65,0.796,72,59,71,61,56.4,16.2,13.5,15.2,0.29,0.271,0.28,46,2,47,1,0.032377428307123,720,0.915277777777778,0.3
868,"Visitacion Valley MS",3,"1971 Visitacion Ave, San Francisco, CA",1.74562330318602,140.8333333,313,285,291,0.910543130990415,0.929712460063898,62,0.44,NA,0.04,56,0.877,61,47,56,46,-84.5,-133.4,51.3,22.9,0.042,0.048,0.045,33,2,31,0,0.0303030303030303,450,0.695555555555556,0.29
815,"Asawa (Ruth) SOTA HS",4,"555 Portola Dr, San Francisco, CA",1.61362600332018,33.65384615,681,131,286,0.192364170337739,0.419970631424376,71,0.486,88,0.273,71,0.631,78,70,74,69,35.2,-68,-66,-29.1,0.118,0.12,0.119,47,1,49,1,0.0208423795049935,1000,0.681,0.17
439,"Balboa HS",4,"1000 Cayuga Ave, San Francisco, CA",1.45148084560766,202.3809524,1257,807,1057,0.64200477326969,0.840891010342084,75,1,90,0.215,58,0.638,65,48,70,56,-7.5,-59,-28.6,-9.3,0.235,0.195,0.215,99,7,92,2,0.0462231005709267,1000,1.257,0.6
764,"Burton (Phillip and Sala) HS",4,"400 Mansell St, San Francisco, CA",1.35742112961768,156.25,1034,684,946,0.661508704061896,0.914893617021277,75,1,93,0.382,62,0.594,69,53,70,57,-12.8,-138,36.9,2.6,0.086,0.089,0.088,68,3,66,1,0.0296345811051693,1000,1.034,0.26
742,"Downtown HS",4,"693 Vermont St, San Francisco, CA",0.675455679005597,NA,148,107,126,0.722972972972973,0.851351351351351,87,1,93,0.258,67,0.672,67,49,66,56,-218.8,-276,36.1,14.7,NA,NA,NA,18,0,18,0,0,NA,NA,0.15
559,"Galileo HS",4,"1150 Francisco St, San Francisco, CA",2.31290794469259,93.27731092,1749,1097,1434,0.627215551743854,0.819897084048027,63,0.679,85,0.075,59,0.523,67,48,70,59,50.7,-6.3,26.8,22.4,0.212,0.188,0.2,120,4,124,7,0.0448924731182796,2000,0.8745,0.42
466,"Independence HS",4,"1350 7th Ave, San Francisco, CA",1.47056725085652,NA,205,114,151,0.55609756097561,0.736585365853659,91,1,93,0.194,79,0.715,69,53,67,61,-333,-348,-39.2,-27.1,0,0,0,21,0,21,0,0,NA,NA,0.11
757,"Jordan (June) HS",4,"325 La Grande Ave, San Francisco, CA",1.22522537397329,202.3809524,210,135,193,0.642857142857143,0.919047619047619,74,1,NA,0.069,67,0.698,59,43,61,46,-136.1,-238,40.9,3.4,0.028,0.026,0.027,23,0,25,2,0.04,1000,0.21,0.35
